consign	ccomp
congratulate	dep
confess	xcomp
conduct	xcomp
compromise	nsubj
compose	parataxis
complement	dobj
complain	ccomp
commission	nsubj
commentate	dobj
comfort	nsubjpass
come	appos
colour	nsubj
collate	nsubj
collaborate	nsubj
cohere	nsubj
cogitate	nsubj
coerce	nsubj
coerce	ccomp
coax	nsubj
clasp	conj
circle	parataxis
chip	dep
center	nmod
catalogue	nmod
cannonade	nsubjpass
burden	nsubjpass
bully	nsubj
bring	csubj
brave	dep
brag	parataxis
bow	advcl
boot	nsubjpass
boo-hoo	nmod
bluff	nsubjpass
bluff	dep
blame	dep
blackguard	dobj
bite	parataxis
bite	nsubjpass
bewitch	nsubjpass
bethink	xcomp
beseech	nsubj
bask	nsubj
baron	xcomp
baron	dep
baptize	nmod
bandage	nsubj
awake	advcl
a-visit	nsubj
avenge	dep
authorise	nsubj
assure	xcomp
asseverate	nsubj
assault	dobj
a-scrape	conj
argue	dep
apprise	dobj
apprehend	xcomp
apostrophize	nsubj
apostrophize	dep
apologize	nsubj
apologise	nsubj
announce	dep
anathematise	nmod
analyze	nsubj
amuse	parataxis
amuse	dep
amble	dobj
amaze	parataxis
alia	dep
afore	nmod:tmod
affront	nsubjpass
affright	dobj
adore	nsubjpass
administer	nsubj
adjure	dobj
addict	nsubjpass
acquaint	xcomp
acquaint	dobj
accede	nsubj
abuse	nsubj
a-bother	nmod
abide	nsubj
a-bear	nsubj
retort	dobj
assent	nsubj
chuckle	nsubj
protest	nsubj
wince	nsubj
contemplate	nsubj
rejoin	dobj
eye	nsubj
croak	dobj
advise	nsubj
wring	nsubj
stride	nsubj
grumble	nsubj
faint	nsubj
stammer	nsubj
exclaim	dobj
clasp	nsubj
untie	nsubj
spare	nsubj
shock	nsubjpass
saturate	nsubjpass
refrain	nsubj
prevail	nsubjpass
long	nsubj
implore	nsubj
disdain	nsubj
clean	nsubj
charge	nsubj
beckon	nsubj
glance	nsubj
examine	nsubj
accost	nsubj
attempt	nsubj
seat	nsubj
mention	nsubj
kneel	nsubj
retort	nsubj
smile	nsubj
bid	nsubj
persuade	dobj
frown	nsubj
summon	nsubjpass
scrutinize	nsubj
deem	nsubj
wriggle	nsubj
venerate	dobj
testify	nsubj
tempt	nsubjpass
spur	dobj
sip	nsubj
shield	dobj
rejoice	nsubj
presume	nsubj
poke	nsubj
picture	nsubj
listen	dep
exterminate	dobj
entertain	nsubj
educate	nsubjpass
apprentice	nmod
anticipate	nsubj
amaze	nsubjpass
agree	nsubjpass
acquiesce	nsubj
listen	nsubj
step	nsubj
marry	nsubjpass
hand	nsubj
walk	nsubj
murmur	nsubj
lean	nsubj
tease	nsubj
confess	nsubj
nod	nsubj
sit	nsubj
plead	nsubj
hint	nsubj
arrest	nsubjpass
cry	dobj
shrug	nsubj
please	nsubjpass
reply	dobj
remark	nsubj
ask	nsubj
laugh	nsubj
say	nsubj
wish	nsubj
stay	nsubj
kiss	nsubj
kill	nsubjpass
insist	nsubj
meditate	nsubj
invite	nsubj
growl	nsubj
translate	nmod
recollect	nsubj
jerk	nsubj
blush	nsubj
select	nsubj
request	nsubj
rent	nsubj
redden	nsubj
realise	nsubj
query	dobj
preside	nsubj
fain	nsubj
advise	dobj
waken	nsubjpass
vex	nsubjpass
upset	nsubjpass
tug	nsubj
transfer	nsubj
totter	nsubj
thrash	nsubj
think	appos
superintend	nsubj
sink	nsubjpass
serve	iobj
repress	nsubj
repay	nsubj
remonstrate	nsubj
re-enter	nsubj
recline	nsubj
profess	nsubj
prescribe	nsubj
pity	nsubj
pace	nsubj
overthrow	nsubj
oblige	dobj
name	xcomp
manifest	nsubj
institute	nsubj
instil	nsubj
install	nsubjpass
inform	advcl
idolize	nsubj
horrify	nsubj
hook	nsubj
honour	nsubj
harp	nsubj
hack	nsubj
grace	nsubj
fatigue	nsubjpass
engross	nsubjpass
engross	nsubj
encrust	nsubjpass
elect	nsubjpass
drive	dep
dodge	nsubj
disconcert	nsubjpass
disappoint	nsubjpass
deliberate	nsubj
dare	parataxis
cultivate	nsubj
conjecture	nsubj
